Domaine;Nom_du_defaut;Declaration_et_condition;Ecriture_du_bit_TRUE;Remonte_en_banniere;Message_utilisateur;Silencieuse;Categorie_securite;Remarque
Treuil M1;ErrorID:11 - surchauffe thermique frein;FB_Safety_Winch.st:368 (Active): latch FB_Safety_Winch.st:366;FB_Safety_Winch.st:366 -> FB_FaultCore.st:53;NON en actif - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1137;OUI - "[HISTO] [M1] ErrorID:11 - surchauffe frein";NON;Safety (classe WARNING);Exclusion carrousel actif, exemption nominative G506 bit 10. Aucune action operateur dediee.
Treuil M1;ErrorID:12 - Meca D non-arret au capteur haut;FB_Safety_Winch.st:385 (Active): latch FB_Safety_Winch.st:381;FB_Safety_Winch.st:381 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:870;OUI - "[M1] ErrorID:12 - MecaD - non-arret au capteur haut";NON;Safety;Conforme - G506 bit 11
Treuil M1;ErrorID:13 - Meca E ecart synchro critique;FB_Safety_Winch.st:399 (Active): latch FB_Safety_Winch.st:397;FB_Safety_Winch.st:397 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:873;OUI - "[M1] ErrorID:13 - MecaE - ecart synchro M1/M2 critique";NON;Safety (SYNC = priorite 1 du brief);Conforme - G506 bit 12. Seuil dedie _WinchCriticalSyncTolerance_M (GVL_PERSISTENT.st:59, defaut 7,0 m).
Treuil M1;ErrorID:13 - escalade ecart synchro (bit 13);FB_Safety_Winch.st:414 (Active): latch FB_Safety_Winch.st:407 et :412;FB_Safety_Winch.st:407/412 -> FB_FaultCore.st:53;OUI en actif (meme libelle que le bit 12) - NON en [HISTO] (16#2000 absent de la table HISTO M1);OUI - "[M1] ErrorID:13 - MecaE - ecart synchro M1/M2 critique";NON;Safety (declenche PowerCutOff);ECART MINEUR - le bit 13 escalade vers PowerCutOff mais n'a AUCUNE entree [HISTO] : apres disparition de la cause et avant Reset, l'escalade disparait du bandeau alors qu'elle est latchee.
Treuil M1;ErrorID:15 - sens reel oppose a la commande;FB_Safety_Winch.st:427 (Active): latch FB_Safety_Winch.st:426;FB_Safety_Winch.st:426 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:876;OUI - "[M1] ErrorID:15 - sens oppose";NON;Safety;Conforme - G506 bit 14
Treuil M1;ErrorID:16 - absence mouvement malgre commande;FB_Safety_Winch.st:445 (Active): latch FB_Safety_Winch.st:444;FB_Safety_Winch.st:444 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:879;OUI - "[M1] ErrorID:16 - discordance commande/retour/mouvement";NON;Safety;Conforme - G506 bit 15
Treuil M1;Survitesse treuil detectee (SafeStop) - hors bitfield;CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:100 (OverspeedFault) / latch FB_Safety_Winch.st:454;FB_Safety_Winch.st:454 (OverspeedFaultLatched := TRUE) puis FB_Safety_Winch.st:485;OUI - FB_Hmi_BannerFormatter.st:882;OUI - "[M1] Survitesse treuil detectee (SafeStop)";NON;Safety (latch dedie, hors ErrorId);ECART - hors bitfield donc absent de LatchedId : le defaut ne peut JAMAIS apparaitre en [HISTO], seul l'etat actif (maintien du latch) le montre. Mappe par G506 via WINCH_EXTRA_LABELS.
Treuil M2;ErrorID:01 - perte communication operateur treuil;FB_Safety_Winch.st:269 (meme code, instance M2);FB_Safety_Winch.st:269 -> FB_FaultCore.st:53 (instance M2);OUI - FB_Hmi_BannerFormatter.st:900;OUI - "[M2] ErrorID:01 - perte com operateur";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:02 - perte ou defaut codeur;FB_Safety_Winch.st:280 (latch :278);FB_Safety_Winch.st:278 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:903;OUI - "[M2] ErrorID:02 - perte codeur";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:03 - surchauffe thermique moteur;FB_Safety_Winch.st:288 (latch :286);FB_Safety_Winch.st:286 -> FB_FaultCore.st:53;NON en actif - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1160;OUI - "[HISTO] [M2] ErrorID:03 - surchauffe moteur";NON;Safety (WARNING);Exclusion AF-07 section 6 (idem M1)
Treuil M2;ErrorID:04 - mou de cable;FB_Safety_Winch.st:294 (live);FB_Safety_Winch.st:294 -> FB_FaultCore.st:53;NON en actif - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1163;OUI - "[HISTO] [M2] ErrorID:04 - mou de cable";NON;Safety (WARNING);Exclusion AF-07 section 6 (idem M1)
Treuil M2;ErrorID:05 - rotation phases;FB_Safety_Winch.st:305 (latch :303);FB_Safety_Winch.st:303 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:906;OUI - "[M2] ErrorID:05 - rotation phases";NON;Safety;Conforme symetrique M1
Treuil M2;Fin de course haut capteur atteint (bit 5);FB_Safety_Winch.st:311 (live);FB_Safety_Winch.st:311 -> FB_FaultCore.st:53;NON (16#0020 non decode) - NON en [HISTO];Message generique OUI - "[TREUIL] Limite haute" FB_Hmi_BannerFormatter.st:757;NON;Safety (etat);Exemption G506 bit 5, idem M1
Treuil M2;ErrorID:07 - limite basse cable atteinte (bit 6);FB_Safety_Winch.st:320 (live);FB_Safety_Winch.st:320 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:934;OUI - "[M2] Limite basse cable atteinte" + action FB_Hmi_BannerFormatter.st:783;NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:08 - Meca A deplacement sans commande;FB_Safety_Winch.st:335 (latch :334);FB_Safety_Winch.st:334 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:909;OUI - "[M2] ErrorID:08 - MecaA - deplacement sans commande";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:09 - Meca B arret non confirme;FB_Safety_Winch.st:348 (latch :343);FB_Safety_Winch.st:343 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:912;OUI - "[M2] ErrorID:09 - MecaB - arret non confirme apres stop";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:10 - Meca C glissement benne figee;FB_Safety_Winch.st:360 (latch :359);FB_Safety_Winch.st:359 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:915;OUI - "[M2] ErrorID:10 - MecaC - glissement pendant benne figee";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:11 - surchauffe thermique frein;FB_Safety_Winch.st:368 (latch :366);FB_Safety_Winch.st:366 -> FB_FaultCore.st:53;NON en actif - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1178;OUI - "[HISTO] [M2] ErrorID:11 - surchauffe frein";NON;Safety (WARNING);Exclusion carrousel actif (idem M1)
Treuil M2;ErrorID:12 - Meca D non-arret au capteur haut;FB_Safety_Winch.st:385 (latch :381);FB_Safety_Winch.st:381 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:918;OUI - "[M2] ErrorID:12 - MecaD - non-arret au capteur haut";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:13 - Meca E ecart synchro critique;FB_Safety_Winch.st:399 (latch :397);FB_Safety_Winch.st:397 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:921;OUI - "[M2] ErrorID:13 - MecaE - ecart synchro M1/M2 critique";NON;Safety (SYNC priorite 1);Conforme symetrique M1
Treuil M2;ErrorID:13 - escalade ecart synchro (bit 13);FB_Safety_Winch.st:414 (latch :407 et :412);FB_Safety_Winch.st:407/412 -> FB_FaultCore.st:53;OUI en actif - NON en [HISTO] (16#2000 absent de la table HISTO M2);OUI - "[M2] ErrorID:13 - MecaE - ecart synchro M1/M2 critique";NON;Safety (PowerCutOff);ECART MINEUR - idem M1 : pas d'entree [HISTO] pour le bit escalade
Treuil M2;ErrorID:15 - sens reel oppose a la commande;FB_Safety_Winch.st:427 (latch :426);FB_Safety_Winch.st:426 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:924;OUI - "[M2] ErrorID:15 - sens oppose";NON;Safety;Conforme symetrique M1
Treuil M2;ErrorID:16 - absence mouvement malgre commande;FB_Safety_Winch.st:445 (latch :444);FB_Safety_Winch.st:444 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:927;OUI - "[M2] ErrorID:16 - discordance commande/retour/mouvement";NON;Safety;Conforme symetrique M1
Treuil M2;Survitesse treuil detectee (SafeStop) - hors bitfield;FB_Safety_Winch.st:100 / latch FB_Safety_Winch.st:454;FB_Safety_Winch.st:454 puis :485;OUI - FB_Hmi_BannerFormatter.st:930;OUI - "[M2] Survitesse treuil detectee (SafeStop)";NON;Safety;ECART - hors bitfield, jamais en [HISTO] (idem M1)
Treuil M1/M2 (mouvement);FB_Winch bit 1 - "contacteur colle" (cause fantome);CODE/H_TREUILS_BENNE/FB_Winch.st:120 (instCauses[1].Active := FALSE en dur);AUCUNE (Active := FALSE litteral, ligne 120) - bit jamais pose;NON;NON;OUI (bit mort, aucune sortie);Process;CAUSE FANTOME DOCUMENTEE - le commentaire FB_Winch.st:117-119 indique que la detection contacteur colle est transferee a FB_Safety_Winch/PRG_06. Slot conserve pour compatibilite. Aucun impact machine (bit toujours 0).
Treuil M1/M2 (mouvement);FB_Winch bit 2 - configuration table des paliers vitesse invalide;FB_Winch.st:124 (Active): latch FB_Winch.st:114 (SpeedStepConfigFaultLatched := TRUE, condition FB_Winch.st:113);FB_Winch.st:114 -> FB_FaultCore.st:53 (instance FB_Winch);NON - aucun libelle ne decode GVL_IHM.M1TreuilRetenue.State.ErrorId (le formateur ne recoit que WinchMxSafety.ErrorId, PRG_07:766-767);NON - le texte 'Configuration table des paliers vitesse invalide' (FB_Winch.st:126) n'est lu par AUCUN code;OUI (voyant allume, zero texte);Process;ECART MAJEUR classe T255-D - FB_Winch.Fault.Error est agrege dans WinchMxSafety.Error (FB_WinchStateProjection.st:236/264) puis dans AnyFaultActive (PRG_07:591-592) : le voyant s'allume sans qu'aucun message ne nomme la cause. Non couvert par G506 (qui ne controle que SafetyMx.Fault.ErrorId).
Treuil M1/M2 (mouvement);FB_WinchLoadEstimator bit 0 - parametrage/vitesse estimation charge invalide;CODE/H_TREUILS_BENNE/FB_WinchLoadEstimator.st:65 (Active): latch FB_WinchLoadEstimator.st:66;FB_WinchLoadEstimator.st:66 -> FB_FaultCore.st:53;NON - sortie Fault jamais consommee (aucune lecture de instWinchLoadEstimatorM1/M2.Fault dans CODE/);NON - texte FB_WinchLoadEstimator.st:67 orphelin;OUI (aucune sortie du tout);Process;ECART MAJEUR - defaut produit, jamais publie, jamais affiche (seules .SpeedBand et .EstimatedLoadPct sont consommees, PRG_04:1425/1507/1552-1553)
Treuil M1/M2 (barriere finale);FB_WinchOutputInterlock bit 0 - timeout confirmation ouverture frein treuil;CODE/H_TREUILS_BENNE/FB_WinchOutputInterlock.st:528 (Active): latch FB_WinchOutputInterlock.st:529;FB_WinchOutputInterlock.st:529 -> FB_FaultCore.st:53 puis WinchMxState.FinalInterlockErrorId (FB_WinchStateProjection.st:115/182);NON - le formateur ne recoit AUCUN FinalInterlockErrorId treuil (seul M3 est cable, PRG_07:763);NON - texte FB_WinchOutputInterlock.st:530 orphelin;OUI (variable IHM seule, aucun texte);Safety (bloque le mouvement, ISO 13849);ECART MAJEUR - bloque le demarrage du treuil sans aucune alarme ni texte ; visible seulement comme GVL_IHM.M1TreuilRetenue.State.FinalInterlockErrorId (PRG_07:489-490). Asymetrie avec M3 (barriere finale M3 = libelle dedie FB_Hmi_BannerFormatter.st:973).
Synchronisation M1/M2;SYNC ErrorID:01 - alerte ecart synchronisation (bit 0);CODE/H_TREUILS_BENNE/FB_WinchSync.st:171 (Active, live);FB_WinchSync.st:171 -> FB_FaultCore.st:53 -> SyncState.ErrorId (PRG_04:1738);OUI - FB_Hmi_BannerFormatter.st:997;OUI - "[SYNC] ErrorID:01 - ecart M1/M2";NON;Process (warning de degradation palier 1);Conforme - seuil 1 = CfgSyncTolerance_M 3,0 m (ST_SyncCfg.st:6)
Synchronisation M1/M2;SYNC ErrorID:02 - discordance contacteurs (bit 1);FB_WinchSync.st:175 (Active): latch FB_WinchSync.st:176;FB_WinchSync.st:176 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1000;OUI - "[SYNC] ErrorID:02 - incoherence commande";NON;Safety;Conforme - mais voir E-SYNC-2 : ce bit est utilise comme source de SafeStopSync (PRG_04:1847/1893) sous un nom trompeur
Synchronisation M1/M2;SYNC ErrorID:03 - ECART CRITIQUE synchronisation M1/M2 (bit 2);CODE/H_TREUILS_BENNE/FB_WinchSync.st:179 (Active): latch FB_WinchSync.st:180;FB_WinchSync.st:180 -> FB_FaultCore.st:53 -> SyncState.ErrorId (PRG_04:1738) -> formateur SyncErrorId PRG_07:770;NON - AUCUN libelle AlarmArray ne decode 16#0004 (le carrousel ne traite que 16#0001 et 16#0002, FB_Hmi_BannerFormatter.st:996 et :999);NON - texte FB_WinchSync.st:181 orphelin;OUI (voyant agrege allume, aucun message);Safety CRITIQUE (SYNC = priorite 1 du brief);ECART CRITIQUE - l'attenuation supposee par MecaE est INCOMPLETE : seuil bit2 = CfgSyncCriticalTolerance_M defaut 6,0 m (ST_SyncCfg.st:7) alors que MecaE (bit 12/13 des safety, libelle) utilise _WinchCriticalSyncTolerance_M defaut 7,0 m (GVL_PERSISTENT.st:59) -> toute la bande d'ecart 6,0-7,0 m declenche un defaut safety latche SANS AUCUN message operateur. Non couvert par G506 (SyncErrorId non controle par bit).
Synchronisation M1/M2;Trace SafeStopSourceSync - attribution erronee du bit;CODE/M_MAIN/PRG_04_Treuils_Benne.st:1847 et :1893 ((instWinchSync.Fault.ErrorId AND 16#0002) <> 0);lecture seule (pas une ecriture);NON (n'est pas un defaut, c'est une attribution de cause);NON;NON;Diagnostic (trace terrain);ECART - 16#0002 = bit 1 = "Discordance contacteurs" (FB_WinchSync.st:177) et non l'ecart de synchronisation (bit 2 = 16#0004). La trace attribue donc un SafeStop a la synchro sur la mauvaise cause et ne teste jamais le bit 2.
Benne;BENNE ErrorID:01 - configuration geometrie benne invalide;CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st:189 (Active): latch FB_Bucket.st:190;FB_Bucket.st:190 -> FB_FaultCore.st:53 -> BucketState.ErrorId (PRG_04:1777) -> formateur PRG_07:769;OUI - FB_Hmi_BannerFormatter.st:980;OUI - "[BENNE] ErrorID:01 - configuration geometrie invalide";NON;Safety;Conforme - branche ELSE de reset FB_Bucket.st:295 (Active := FALSE) coherente
Benne;BENNE ErrorID:02 - depassement ecart maximum autorise;FB_Bucket.st:215 (Active): latch FB_Bucket.st:216;FB_Bucket.st:216 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:983;OUI - "[BENNE] ErrorID:02 - depassement ecart max autorise";NON;Safety;Conforme
Benne;BENNE ErrorID:03 - timeout commande deplacement benne;FB_Bucket.st:269 (Active): latch FB_Bucket.st:270;FB_Bucket.st:270 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:986;OUI - "[BENNE] ErrorID:03 - timeout commande deplacement";NON;Safety;Conforme - libelle garde par EncM1Valid AND EncM2Valid
Benne;BENNE ErrorID:04 - glissement treuil M1 pendant manoeuvre;FB_Bucket.st:278 (Active): latch FB_Bucket.st:279;FB_Bucket.st:279 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:989;OUI - "[BENNE] ErrorID:04 - glissement treuil M1";NON;Safety;Conforme
Benne;BENNE ErrorID:05 - codeurs treuils non references;FB_Bucket.st:286 (Active, live) - latching FALSE FB_Bucket.st:287;FB_Bucket.st:286 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:992;OUI - "[BENNE] ErrorID:05 - codeurs treuils non references";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:01 - perte communication operateur;CODE/I_TRANSLATION/FB_Safety_Translation.st:123 (Active, live);FB_Safety_Translation.st:123 -> FB_FaultCore.st:53 -> TranslationSafety (PRG_05:739-741) -> PRG_07:768;OUI - FB_Hmi_BannerFormatter.st:939;OUI - "[M3] ErrorID:01 - perte com operateur";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:02 - perte communication EtherCAT variateur;FB_Safety_Translation.st:132 (Active, live);FB_Safety_Translation.st:132 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:942;OUI - "[M3] ErrorID:02 - perte EtherCAT";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:03 - defaut rotation de phases;FB_Safety_Translation.st:143 (Active): latch FB_Safety_Translation.st:144;FB_Safety_Translation.st:144 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:945;OUI - "[M3] ErrorID:03 - rotation phases";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:04 - surchauffe thermique frein translation;FB_Safety_Translation.st:151 (Active): latch FB_Safety_Translation.st:152;FB_Safety_Translation.st:152 -> FB_FaultCore.st:53;NON en actif - OUI en [HISTO] FB_Hmi_BannerFormatter.st:1204;OUI - "[HISTO] [M3] ErrorID:04 - surchauffe frein";NON;Safety (WARNING);ECART DE COHERENCE - meme classe thermique que les bits treuil 2/3/10 exclus du carrousel actif par AF-07 section 6, MAIS cette exclusion n'est NI documentee pour M3 NI couverte par G506 (qui ne verifie par bit que les treuils). Defaut safety latche, aucune action operateur.
Translation M3 safety;M3 ErrorID:05 - absence confirmation arret (Meca B);FB_Safety_Translation.st:175 (Active): latch FB_Safety_Translation.st:176;FB_Safety_Translation.st:176 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:948;OUI - "[M3] ErrorID:05 - MecaB - arret non confirme apres stop";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:06 - mouvement non commande (Meca A);FB_Safety_Translation.st:191 (Active): latch FB_Safety_Translation.st:192;FB_Safety_Translation.st:192 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:951;OUI - "[M3] ErrorID:06 - MecaA - deplacement sans commande";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:07 - depassement limite extreme;FB_Safety_Translation.st:203 (Active, live);FB_Safety_Translation.st:203 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:954;OUI - "[M3] ErrorID:07 - butee extreme";NON;Safety;Conforme
Translation M3 safety;M3 ErrorID:08 - incoherence combinaison capteurs;FB_Safety_Translation.st:215 (Active): latch FB_Safety_Translation.st:216;FB_Safety_Translation.st:216 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:957;OUI - "[M3] ErrorID:08 - capteurs incoherents";NON;Safety;Conforme
Translation M3 mouvement;FB_Translation bit 0 - defaut sequence ou retour frein (via FB_Brake);CODE/I_TRANSLATION/FB_Translation.st:106 (Active := Brake.Fault.Error, live);FB_Translation.st:106 -> FB_FaultCore.st:53 -> TranslationState.ErrorId (PRG_05:679) -> PRG_07:762;OUI - FB_Hmi_BannerFormatter.st:964;OUI - "[M3] Defaut sequence / retour frein translation";NON;Safety;Conforme - libelle plus generique que la cause source ("Incoherence retour contacteur frein", FB_Brake.st:128)
Translation M3 mouvement;FB_Translation bit 3 - defaut variateur AC600;FB_Translation.st:110 (Active): latch FB_Translation.st:111 (DriveFaultLatching);FB_Translation.st:111 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:967;OUI - "[M3] Defaut variateur translation AC600";NON;Process (variateur);Conforme
Translation M3 mouvement;FB_Translation bit 6 - limite extreme atteinte;FB_Translation.st:127 (Active := TonLimitSwitchOverrun.Q, live);FB_Translation.st:127 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:970;OUI - "[M3] Limite extreme translation atteinte";NON;Process;Conforme - doublon apparent avec M3 safety bit 6 (16#0040) via deux producteurs distincts (FB_Translation et FB_Safety_Translation) : deux libelles pour une meme cause physique, source d'ambiguite d'acquittement.
Translation M3 barriere;FB_TranslationOutputInterlock bit 0 - timeout confirmation ouverture frein;CODE/I_TRANSLATION/FB_TranslationOutputInterlock.st:115 (Active): latch FB_TranslationOutputInterlock.st:116;FB_TranslationOutputInterlock.st:116 -> FB_FaultCore.st:53 -> TranslationState.FinalInterlockErrorId (PRG_05:726) -> PRG_07:763;OUI - FB_Hmi_BannerFormatter.st:973;OUI - "[M3] Barriere finale translation (frein / redemarrage) - Reset";NON;Safety;Conforme - le libelle agrege (non zero) masque le numero de bit : une seule cause existe aujourd'hui, OK ; a reveoir si un 2e bit apparait.
Frein (commun);FB_Brake bit 0 - incoherence retour contacteur frein;CODE/A_COMMUN/FB_Brake.st:126 (Active): latch FB_Brake.st:127 (branche enable) et FB_Brake.st:82 (branche disable);FB_Brake.st:127 -> FB_FaultCore.st:53;OUI - via FB_Translation cause 0 (FB_Translation.st:106) -> label FB_Hmi_BannerFormatter.st:964;OUI - "[M3] Defaut sequence / retour frein translation";NON;Safety;Conforme pour M3 - FB_Brake n'est instancie QUE dans FB_Translation (aucune instance treuil : ST_WinchFinalInterlockRequest.st:16 documente le retrait). Deux ecritures de cause (L82 et L126) : la branche disable pose Latching=TRUE avec Active=FALSE, donc latche possible sans cause - a verifier hors T356.
Encodeur M1;FB_Encoder bit 0 - perte materiel/communication codeur EtherCAT;CODE/E_CODEURS/FB_Encoder.st:226 (Active := NOT instAbs.EncoderAvailable, live);FB_Encoder.st:226 -> FB_FaultCore.st:53 -> Data.EncoderM1.Fault (PRG_02:636);NON - jamais transmis au formateur;NON - texte FB_Encoder.st:227 orphelin;OUI (aucune sortie IHM : Data.EncoderM1.Fault n'est lu nulle part dans CODE/);Safety;ECART MAJEUR - le Fault agrege de la facade codeur est publie sur le bus inter-PRG (PRG_02:636/691) puis JAMAIS consomme. La perte codeur n'est visible que via le bit 1 des safety (FB_Safety_Winch.st:277-280) qui a un libelle.
Encodeur M1;FB_Encoder bit 1 - incoherence mesure / saut de position;FB_Encoder.st:228 (Active := instSafety.EncoderIncoherent, live);FB_Encoder.st:228 -> FB_FaultCore.st:53 -> Data.EncoderM1.Fault;NON;NON;OUI;Safety (ISO 13849 - integrite de la mesure);ECART MAJEUR - meme chemin mort que le bit 0
Encodeur M1;FB_Encoder bit 2 - echec confirmation transaction preset;FB_Encoder.st:230 (Active): latch FB_Encoder.st:230 (Latching TRUE);FB_Encoder.st:230 -> FB_FaultCore.st:53 -> Data.EncoderM1.Fault;NON;NON;OUI;Safety (fiabilite du datum);ECART MAJEUR - meme chemin mort. Un echec de preset (reference perdue) n'est ni affiche ni historise alors qu'il conditionne le homing.
Encodeur M1;FB_Encoder_Abs bit 0 - defaut communication EtherCAT codeur absolu;CODE/E_CODEURS/FB_Encoder_Abs.st:75 (Active, live);FB_Encoder_Abs.st:75 -> FB_FaultCore.st:53 -> Measurement.AbsFault (FB_Encoder.st:204) -> WinchM1State.Encoder.Error/ErrorId (FB_WinchStateProjection.st:129-130) -> GVL_IHM (PRG_07:489);NON - aucun libelle;NON - texte FB_Encoder_Abs.st:77 orphelin;PARTIEL (variable GVL_IHM uniquement, aucun texte ni voyant);Safety;ECART MAJEUR - visible sur un ecran de depannage sous forme de code binaire, jamais nomme a l'operateur
Encodeur M1;FB_Encoder_Abs bit 1 - timeout sequence preset SDO;FB_Encoder_Abs.st:83 (Active): latch FB_Encoder_Abs.st:84;FB_Encoder_Abs.st:84 -> FB_FaultCore.st:53 -> WinchM1State.Encoder.ErrorId;NON;NON;PARTIEL;Safety;ECART MAJEUR - idem bit 0
