producteur,fichier,bit,masque_hex,texte_cause,ligne_texte,expr_active,ligne_ecriture_bit,latching,amont_ecrit_true,index_symbolique
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,3,16#0008,Perte communication IHM pendant cycle,474,L472:NOT HeartbeatIhmOk AND (State <> E_AutoCycleStep.AX0_REPOS) AND (State <> E_AutoCycleStep.AX_STAB),472,L473:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,4,16#0010,Depassement tempo maximale d etape (blocage mouvement),478,L476:StepMaxTimer.Q AND (State <> E_AutoCycleStep.AX_STAB) AND NOT CycleChecksInhibited,476,L477:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,5,16#0020,Defaut de stabilisation / tolerance ecart codeurs en remontee controle,485,L482:SpeedMismatchConfirmed AND (State = E_AutoCycleStep.AX11_CTRL_ASCENT),482,L484:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,6,16#0040,Reserve - synchronisme arbitre exclusivement par PRG_04,492,L490:FALSE,490,L491:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,7,16#0080,Treuils M1/M2 hors FDC haut pendant la translation vers P1,501,L497:NOT CycleChecksInhibited AND NOT WinchesAtTopWindow AND (State = E_AutoCycleStep.AX2_TRANSLATE_P1),497,L500:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,8,16#0100,Palier vitesse > 4 (palier 5) pendant la plongee - interdit,512,L506:(((M1_SpeedStepApplied > CST_StepDive) OR (M2_SpeedStepApplied > DiveM2StepTgt))) AND ((State = E_AutoCycleStep.AX4_DESCEND_DIVING) OR (State = E_AutoCycleStep.AX5_KOBOLD_INIT) OR (State = E_AutoCycleStep.AX6_SEARCH_IMMERSION) OR (State = E_AutoCycleStep.AX7_SEARCH_BOTTOM)),506,L511:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,9,16#0200,Palier 4 non confirme sur M1 et/ou M2 pendant la recherche Kobold,521,L517:PalierNot4Timer.Q AND NOT CycleChecksInhibited AND ((State = E_AutoCycleStep.AX6_SEARCH_IMMERSION) OR (State = E_AutoCycleStep.AX7_SEARCH_BOTTOM)),517,L520:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,10,16#0400,Reserve - attente arret mecanique AX3 sans defaut temporel,525,L523:FALSE,523,L524:TRUE,,
FB_CycleSemiAuto,CODE/G_CYCLE/FB_CycleSemiAuto.st,11,16#0800,Consigne profondeur invalide ou sous la limite legale,531,L527:(State = E_AutoCycleStep.AX7_SEARCH_BOTTOM) AND (DepthStopMode <> E_CycleDepthStopMode.KOBOLD_ONLY) AND NOT DepthSetpointValid,527,L530:TRUE,,
FB_Bucket,CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st,0,16#0001,Configuration geometrie benne invalide,191,L189:CfgFaultLatched | L295:FALSE,189,L190:TRUE,CfgFaultLatched (CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st:187),
FB_Bucket,CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st,1,16#0002,Depassement ecart maximum autorise benne,217,L215:OffsetMaxFaultLatched | L296:FALSE,215,L216:TRUE,OffsetMaxFaultLatched (CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st:213),
FB_Bucket,CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st,2,16#0004,Timeout commande deplacement benne,271,L269:TimeoutFaultLatched | L297:FALSE,269,L270:TRUE,TimeoutFaultLatched (CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st:261),
FB_Bucket,CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st,3,16#0008,Glissement treuil M1 pendant manoeuvre benne,280,L278:M1SlipFaultLatched | L298:FALSE,278,L279:TRUE,M1SlipFaultLatched (CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st:276),
FB_Bucket,CODE/H_TREUILS_BENNE/BENNE/FB_Bucket.st,4,16#0010,Codeurs treuils non references pour sequence benne,288,L286:HomingMotionWithoutReference | L299:FALSE,286,L287:FALSE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,0,16#0001,Perte communication operateur treuil,274,L269:(NOT JoystickOnline OR NOT JoystickOperational OR NOT HeartbeatIhmOk) | L271:FALSE,269,L273:FALSE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,1,16#0002,Perte ou defaut codeur treuil,282,L280:EncoderFaultLatched,280,L281:TRUE,EncoderFaultLatched (CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:278),
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,2,16#0004,Surchauffe thermique moteur treuil,290,L288:MotorThermalFaultLatched,288,L289:TRUE,MotorThermalFaultLatched (CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:286),
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,3,16#0008,Detection mou de cable treuil,299,L294:TRUE | L296:FALSE,294,L298:FALSE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,4,16#0010,Defaut rotation de phases treuil,307,L305:PhaseRotationFaultLatched,305,L306:TRUE,PhaseRotationFaultLatched (CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:303),
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,5,16#0020,Fin de course haut capteur atteint,316,L311:TRUE | L313:FALSE,311,L315:FALSE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,6,16#0040,Limite basse cable atteinte,325,L320:TRUE | L322:FALSE,320,L324:FALSE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,7,16#0080,Derive non commandee treuil (Meca A),337,L335:MecaAFaultLatched,335,L336:TRUE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,8,16#0100,Absence confirmation arret contacteurs/frein (Meca B),350,L348:MecaBFaultLatched,348,L349:TRUE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,9,16#0200,Glissement treuil pendant cycle benne (Meca C),362,L360:MecaCFaultLatched,360,L361:TRUE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,10,16#0400,Surchauffe thermique frein treuil,370,L368:BrakeThermalFaultLatched,368,L369:TRUE,BrakeThermalFaultLatched (CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:366),
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,11,16#0800,Escalade fin de course haut (Meca D),387,L385:MecaDFaultLatched,385,L386:TRUE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,12,16#1000,Ecart critique synchronisation treuil (Meca E),401,L399:MecaEFaultLatched,399,L400:TRUE,MecaEFaultLatched (CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:397),
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,13,16#2000,Escalade ecart synchronisation (Meca E),416,L414:MecaEEscaladeFaultLatched,414,L415:TRUE,MecaEEscaladeFaultLatched (CODE/H_TREUILS_BENNE/FB_Safety_Winch.st:412),
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,14,16#4000,Sens reel oppose a la commande treuil,429,L427:OppositeDirectionFaultLatched,427,L428:TRUE,,
FB_Safety_Winch,CODE/H_TREUILS_BENNE/FB_Safety_Winch.st,15,16#8000,Absence mouvement malgre commande treuil,447,L445:NoMovementFaultLatched,445,L446:TRUE,,
FB_Winch,CODE/H_TREUILS_BENNE/FB_Winch.st,1,16#0002,Contacteur colle gere par FB_Safety_Winch ,122,L120:FALSE,120,L121:TRUE,,
FB_Winch,CODE/H_TREUILS_BENNE/FB_Winch.st,2,16#0004,Configuration table des paliers vitesse invalide,126,L124:SpeedStepConfigFaultLatched,124,L125:TRUE,SpeedStepConfigFaultLatched (CODE/H_TREUILS_BENNE/FB_Winch.st:114),
FB_WinchLoadEstimator,CODE/H_TREUILS_BENNE/FB_WinchLoadEstimator.st,0,16#0001,Parametrage ou vitesse estimation charge invalide,67,L65:ConfigOrSpeedFault,65,L66:TRUE,ConfigOrSpeedFault (CODE/H_TREUILS_BENNE/FB_WinchLoadEstimator.st:94),
FB_WinchOutputInterlock,CODE/H_TREUILS_BENNE/FB_WinchOutputInterlock.st,0,16#0001,Timeout confirmation ouverture frein treuil,530,L528:((ErrorId AND 16#0001) <> 16#0000),528,L529:TRUE,,
FB_WinchSync,CODE/H_TREUILS_BENNE/FB_WinchSync.st,0,16#0001,Alerte ecart synchronisation M1/M2,173,L101:FALSE | L171:instDeviation.SyncDeviationWarn | L183:FALSE,101,L172:FALSE,,
FB_WinchSync,CODE/H_TREUILS_BENNE/FB_WinchSync.st,1,16#0002,Discordance contacteurs treuils M1/M2,177,L102:FALSE | L175:instContactor.ContactorMismatch | L184:FALSE,102,L176:TRUE,,
FB_WinchSync,CODE/H_TREUILS_BENNE/FB_WinchSync.st,2,16#0004,Ecart critique synchronisation treuils M1/M2,181,L103:FALSE | L179:instDeviation.SyncDeviationFault | L185:FALSE,103,L180:TRUE,,
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,0,16#0001,Perte communication operateur translation,128,L123:(NOT JoystickOnline OR NOT JoystickOperational OR NOT HeartbeatIhmOk) | L125:FALSE,123,L127:FALSE,,
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,1,16#0002,Perte communication EtherCAT variateur M3,137,L132:(NOT DriveOnline OR NOT DriveOperational) | L134:FALSE,132,L136:FALSE,,
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,2,16#0004,Defaut rotation de phases,145,L143:PhaseRotationFault,143,L144:TRUE,PhaseRotationFault (CODE/I_TRANSLATION/FB_Safety_Translation.st:141),
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,3,16#0008,Surchauffe thermique frein translation,153,L151:BrakeThermalFault,151,L152:TRUE,BrakeThermalFault (CODE/I_TRANSLATION/FB_Safety_Translation.st:149),
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,4,16#0010,Absence confirmation arret translation (Meca B),177,L175:MecaBFault,175,L176:TRUE,,
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,5,16#0020,Mouvement non commande translation (Meca A),193,L191:MecaAFault,191,L192:TRUE,,
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,6,16#0040,Depassement limite extreme translation,209,L203:TonLimitSwitchOverrun.Q | L206:FALSE,203,L208:FALSE,,
FB_Safety_Translation,CODE/I_TRANSLATION/FB_Safety_Translation.st,7,16#0080,Incoherence combinaison capteurs translation,217,L215:SensorIncoherentFault,215,L216:TRUE,SensorIncoherentFault (CODE/I_TRANSLATION/FB_Safety_Translation.st:213),
FB_Translation,CODE/I_TRANSLATION/FB_Translation.st,0,16#0001,Defaut sequence ou retour frein translation,108,L106:Brake.Fault.Error,106,L107:FALSE,,
FB_Translation,CODE/I_TRANSLATION/FB_Translation.st,3,16#0008,Defaut variateur translation AC600,112,L110:DriveFaultLatching,110,L111:TRUE,DriveFaultLatching (CODE/I_TRANSLATION/FB_Translation.st:103),
FB_Translation,CODE/I_TRANSLATION/FB_Translation.st,6,16#0040,Limite extreme translation atteinte,129,L127:TonLimitSwitchOverrun.Q,127,L128:FALSE,,
FB_TranslationOutputInterlock,CODE/I_TRANSLATION/FB_TranslationOutputInterlock.st,0,16#0001,Timeout confirmation ouverture frein translation,117,L115:BrakeTimeoutCause OR NOT BrakeTimeoutAck,115,L116:TRUE,BrakeTimeoutCause (CODE/I_TRANSLATION/FB_TranslationOutputInterlock.st:96) ; BrakeTimeoutAck (CODE/I_TRANSLATION/FB_TranslationOutputInterlock.st:111),
