ID;Catégorie;Organe;Code Défaut;Message / Alarme affichée;Niveau;Cause;Action Utilisateur;Action Maintenance;Points de Test Matériels;Condition Déclenchement (Code ST);Fichier Source;Ligne
ALM_022;ACTIVE_ALARM;M1;-;[M1] Survitesse treuil detectee (SafeStop);BLOQUANT (SafeStop/Coupure);⚠️ Survitesse treuil M1 détectée par le codeur COD1 au-delà de la bande maximale autorisée (SafeStop déclenché).;🕹️ Manipulateur M1 au neutre. Laisser le treuil s'immobiliser sous rampe contrôlée.;🧰 Contrôler l'accouplement mécanique du codeur COD1. Vérifier si la charge n'entraîne pas le tambour au-delà de la vitesse nominale.;Diagnostic IHM ➔ Vitesse mesurée Speed_Mps > SpeedBandMaxMps[5] ➔ SafeStop actif sans PowerCutOff;WinchM1Safety.ErrorOverspeed AND EncM1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;751
ALM_023;ACTIVE_ALARM;M2;ErrorID:01;[M2] ErrorID:01 - perte com operateur;BLOQUANT (SafeStop/Coupure);📡 Perte de communication opérateur ou coupure heartbeat IHM pendant la commande du treuil benne M2.;🕹️ Ramener manipulateur benne au neutre au pupitre. Contrôler l'écran tactile.;🧰 Contrôler le commutateur pupitre et la liaison Ethernet IHM-automate.;Port Ethernet IHM ➔ Ping IP automate VEICHI ➔ GVL_IHM.Commun.HeartbeatIhmOk;WinchM2Safety.ErrorOperatorComm AND Joy1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;756
ALM_024;ACTIVE_ALARM;M2;ErrorID:02;[M2] ErrorID:02 - perte codeur;BLOQUANT (SafeStop/Coupure);📡 Perte de signal ou défaut de mesure du codeur absolu treuil M2 COD2.;🛑 Arrêt des manœuvres benne. Manipulateurs au neutre au pupitre.;🧰 Contrôler le câble blindé M12 et la fixation de l'axe codeur COD2 sur le tambour M2.;Codeur COD2 Treuil M2 ➔ Variable PRG_02_Acquisition.Data.EncoderM2.Measurement.EncoderAvailable ➔ Attendu : TRUE;WinchM2Safety.ErrorEncoder AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;759
ALM_025;ACTIVE_ALARM;M2;ErrorID:05;[M2] ErrorID:05 - rotation phases;BLOQUANT (SafeStop/Coupure);⚡ Inversion ou coupure d'une phase réseau 400V pendant l'exploitation du treuil benne M2.;🛑 Arrêt immédiat de la machine. Couper les commandes au pupitre.;🧰 Contrôler le relais de surveillance des phases en armoire tête. Mesurer tension triphasée 400Vac.;VH_0800END · Borne %IX225.4 (PhaseRotationOk_DI) ➔ Attendu : 24Vcc normal;WinchM2Safety.ErrorPhaseRotation AND Vh0800Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;762
ALM_026;ACTIVE_ALARM;M2;ErrorID:08;[M2] ErrorID:08 - MecaA - deplacement sans commande (vitesse/derive);BLOQUANT (SafeStop/Coupure);🚨 Dérive non commandée M2 (Meca A) : rotation du tambour treuil benne > 5.0m sans commande active.;🛑 NE TOUCHER À RIEN. Enclencher l'Arrêt d'Urgence pupitre si la benne descend toute seule.;⚠️ DANGER : Condamner le pupitre. Armoire : mesurer 0V sur bobine frein M2. Remplacer les garnitures si patinage mécanique.;VH_0008ER · %QX27.1 = 0 | VH_0800END · %IX225.1 = 0V ➔ Mesure bornier frein treuil M2 : 0V strict;WinchM2Safety.ErrorMecaA AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;765
ALM_027;ACTIVE_ALARM;M2;ErrorID:09;[M2] ErrorID:09 - MecaB - arret non confirme apres stop;BLOQUANT (SafeStop/Coupure);⏱️ Absence confirmation arrêt M2 (Meca B) : contacteurs ou frein M2 restés enclenchés > 3s après retour au neutre.;🕹️ Manipulateur benne au neutre. Contrôler l'arrêt complet du tambour treuil M2.;🧰 Armoire : contrôler retombée mécanique du contacteur KM_M2 et relais frein. Remplacer si contacts collés.;Local_Digital_IO · %IX0.2 (M2_ContactorsReleased_DI) ➔ Attendu repos : 24V | VH_0800END · %IX225.1 (BrakeOpen) ➔ Attendu : 0V;WinchM2Safety.ErrorMecaB AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;768
ALM_028;ACTIVE_ALARM;M2;ErrorID:10;[M2] ErrorID:10 - MecaC - glissement pendant benne figee;BLOQUANT (SafeStop/Coupure);🚨 Glissement M2 pendant benne figée (Meca C) : dérive anormale du tambour benne M2.;🛑 Arrêt immédiat de la manœuvre. Mettre les manipulateurs au neutre au pupitre.;🧰 Vérifier étanchéité et réglage entrefer frein M2. Mesurer absence de tension sur bobine frein M2.;Bornier frein treuil M2 ➔ Mesure : Tension bobine frein ➔ Attendu : 0Vcc et dérive MecaCDriftM < 2.0m;WinchM2Safety.ErrorMecaC AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;771
ALM_029;ACTIVE_ALARM;M2;ErrorID:12;[M2] ErrorID:12 - MecaD - non-arret au capteur haut;BLOQUANT (SafeStop/Coupure);🚨 Non-arrêt capteur haut M2 (Meca D) : treuil benne ayant dépassé le fin de course haut sans s'arrêter sous 3s.;🛑 ARRÊT IMMÉDIAT. Ne pas forcer la montée. Vérifier que le câble n'est pas en butée contre le tambour.;🧰 Contrôler détecteur inductif fin de course haut M1M2_TopPositionFree_DI (%IX0.7) et contacteurs montée M2.;Local_Digital_IO · Borne %IX0.7 (M1M2_TopPositionFree_DI) ➔ Attendu libre : 24V | Ouvert : 0V;WinchM2Safety.ErrorMecaD AND LocalIoValid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;774
ALM_030;ACTIVE_ALARM;M2;ErrorID:13;[M2] ErrorID:13 - MecaE - ecart synchro M1/M2 critique;BLOQUANT (SafeStop/Coupure);🚨 Écart critique synchronisation M2/M1 (Meca E) : dérive différentielle des treuils > 7.0m en marche couplée.;🕹️ Manipulateurs au neutre au pupitre. Vérifier l'état visuel des câbles sur le ponton.;🧰 Contrôler valeurs de position COD1 et COD2 sur IHM. Vérifier absence de glissement câble dans les tambours.;Diagnostic IHM Synchro ➔ Écart absolu > 7.0m ➔ TonMecaE = 3s avant coupure puissance;WinchM2Safety.ErrorMecaE AND EncM1Valid AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;777
ALM_031;ACTIVE_ALARM;M2;ErrorID:15;[M2] ErrorID:15 - sens oppose;BLOQUANT (SafeStop/Coupure);🚨 Sens de rotation opposé M2 : rotation du tambour à l'envers de la commande demandée pendant plus de 1s.;🕹️ Manipulateur au neutre au pupitre de commande.;🧰 Contrôler câblage phases puissance moteur M2 sur contacteurs KM_M2. Vérifier sens comptage codeur COD2.;Codeur COD2 Treuil M2 ➔ Mesure : Vitesse signée SignedSpeed_Mps ➔ Attendu : Même polarité que l'ordre RelayFwd/RelayRev;WinchM2Safety.ErrorOppositeDir AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;780
ALM_032;ACTIVE_ALARM;M2;ErrorID:16;[M2] ErrorID:16 - discordance commande/retour/mouvement;BLOQUANT (SafeStop/Coupure);⏱️ Absence de mouvement M2 : commande active et frein ouvert mais aucune rotation mesurée après 3s.;🕹️ Manipulateur au neutre. Contrôler visuellement si la benne ou le tambour est coincé.;🧰 Armoire : contrôler disjoncteur moteur Q_M2 et présence 400Vac aux bornes moteur. Contrôler défreinage mécanique.;Local_Digital_IO · Borne %IX0.3 (M2_ThermalOk_DI) ➔ Mesure : 400Vac bornes moteur ➔ Attendu repos : 24Vcc sur %IX0.3 et 400Vac en commande;WinchM2Safety.ErrorNoMovement AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;783
ALM_033;ACTIVE_ALARM;M2;-;[M2] Survitesse treuil detectee (SafeStop);BLOQUANT (SafeStop/Coupure);⚠️ Survitesse treuil M2 détectée par codeur COD2 au-delà du palier 5 (SafeStop activé).;🕹️ Manipulateur benne au neutre. Attendre l'arrêt complet sous rampe.;🧰 Contrôler l'accouplement du codeur COD2. Vérifier absence d'emballement sous le poids de la benne.;Diagnostic IHM ➔ Vitesse mesurée Speed_Mps > SpeedBandMaxMps[5] ➔ SafeStop actif;WinchM2Safety.ErrorOverspeed AND EncM2Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;786
ALM_034;ACTIVE_ALARM;M3;ErrorID:01;[M3] ErrorID:01 - perte com operateur;BLOQUANT (SafeStop/Coupure);📡 Perte de communication opérateur pupitre pendant la commande de translation portique M3.;🕹️ Mettre le manipulateur translation au neutre au pupitre de commande.;🧰 Contrôler bus CANopen JOY1 et heartbeat supervision IHM.;Bus CANopen Pupitre ➔ Diagnostic trames CAN ➔ Attendu : NMT Operational et HeartbeatIhmOk = TRUE;TranslationSafety.ErrorOperatorComm AND Joy1Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;791
ALM_035;ACTIVE_ALARM;M3;ErrorID:02;[M3] ErrorID:02 - perte EtherCAT;BLOQUANT (SafeStop/Coupure);📡 Perte de communication bus EtherCAT avec le variateur translation VEICHI AC600.;🛑 Translation bloquée. Mettre les commandes au neutre au pupitre.;🧰 Contrôler cordon RJ45 EtherCAT reliant l'automate au variateur AC600. Vérifier alimentation commande drive.;Variateur AC600 ➔ Port EtherCAT IN ➔ Attendu : Câble RJ45 connecté, LED Link/Act verte clignotante;TranslationSafety.ErrorDriveComm AND VarM3Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;794
ALM_036;ACTIVE_ALARM;M3;ErrorID:03;[M3] ErrorID:03 - rotation phases;BLOQUANT (SafeStop/Coupure);⚡ Rotation de phase 400V incorrecte ou perte de phase sur l'alimentation de la translation.;🛑 Arrêt immédiat de la machine au pupitre.;🧰 Armoire : vérifier relais de phases et tension 400Vac en amont du variateur AC600.;VH_0800END · Borne %IX225.4 (PhaseRotationOk_DI) ➔ Attendu : 24Vcc normal;TranslationSafety.ErrorPhaseRotation AND Vh0800Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;797
ALM_037;ACTIVE_ALARM;M3;ErrorID:05;[M3] ErrorID:05 - MecaB - arret non confirme apres stop;BLOQUANT (SafeStop/Coupure);⏱️ Absence confirmation arrêt translation (Meca B) : variateur ou frein M3 toujours actifs > 3s après stop.;🕹️ Manipulateur translation au neutre. Vérifier visuellement l'immobilisation du portique.;🧰 Armoire : vérifier contacteur frein translation KM_Frein_M3 et sortie fréquence variateur AC600.;VH_0800END · Borne %IX225.2 (M3_BrakeIsOpen_DI) ➔ Attendu arrêt : 0V | Variateur AC600 : Fréquence < 0.5 Hz;TranslationSafety.ErrorMecaB AND VarM3Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;800
ALM_038;ACTIVE_ALARM;M3;ErrorID:06;[M3] ErrorID:06 - MecaA - deplacement sans commande;BLOQUANT (SafeStop/Coupure);🚨 Mouvement non commandé translation (Meca A) : déplacement portique détecté sans consigne active après 1s.;🛑 Frapper l'Arrêt d'Urgence pupitre si le portique dérive le long des rails sous l'effet du vent.;⚠️ DANGER : Condamner le portique avec cales rail. Armoire : mesurer 0V sur bobine frein translation. Remplacer patins de frein si usés.;Bornier armoire frein M3 ➔ Mesure : 0V strict ➔ Variateur AC600 : Fréquence mesurée > 0.5 Hz sans commande;TranslationSafety.ErrorMecaA AND VarM3Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;803
ALM_039;ACTIVE_ALARM;M3;ErrorID:07;[M3] ErrorID:07 - butee extreme;BLOQUANT (SafeStop/Coupure);🚨 Fin de course extrême translation actionné (dépassement zone Trémie ou Maintenance).;🛑 Ne plus avancer vers la butée. Passer en dérogation au pupitre pour reculer hors de la zone.;🧰 Vérifier palpeur inductif came extrême sur voie de roulement. Contrôler boîte de raccordement chariot.;VH_0808ETP · Borne %IX224.0 (Trémie) ou %IX224.4 (Maintenance) ➔ Mesure : 24Vcc sur la came concernée;TranslationSafety.ErrorLimitSwitch AND Vh0808Valid AND (AlarmCount < CST_NbMaxAlarmes);FB_Hmi_BannerFormatter.st;806
